horizon,ozellik,grup,mean_abs_shap,pay_pct
5,gprd_threat_ema20,gpr,0.028370455962916215,2.281737949191621
5,gprd_threat_ema5,gpr,0.012614757257203261,1.0145614293695127
5,gprd_threat_lag1,gpr,0.005868864556153615,0.4720125398740631
5,gprd_threat_lag2,gpr,0.010206583328545094,0.8208803038896949
5,gprd_threat_lag3,gpr,0.011320565920323133,0.9104740826333735
5,gprd_threat_lag4,gpr,0.015307092728714148,1.2310966879261973
5,gprd_threat_lag5,gpr,0.008317279381056626,0.6689301018845929
5,gprd_threat_momentum,gpr,0.013321929052472115,1.0714368184704868
5,gprd_threat_spike,gpr,0.0002323153001877169,0.018684318549868996
5,gprd_threat_z60,gpr,0.009678029300024113,0.7783705258779895
5,gprd_z60,gpr,0.008077232368911306,0.6496239484016181
5,is_month_end,takvim,0.001366093646841667,0.10987020160065845
5,is_month_start,takvim,0.00038193153547278294,0.03071743646349545
5,is_quarter_end,takvim,0.00010521896862580131,0.008462398842024646
5,month,takvim,0.018577692843973637,1.4941397778706347
5,ovx_ema10,ovx,0.022715012977520623,1.8268901703566895
5,ovx_ema20,ovx,0.030842377990484237,2.4805461144575305
5,ovx_ema5,ovx,0.022040382462243237,1.7726319642001438
5,ovx_lag1,ovx,0.02324055020386974,1.8691573173719194
5,ovx_lag2,ovx,0.019897520914673804,1.6002889987101356
5,ovx_lag3,ovx,0.01244707489386201,1.0010753150699754
5,ovx_lag4,ovx,0.006260493925462167,0.5035099396739587
5,ovx_lag5,ovx,0.019761023794611296,1.5893110059979603
5,ovx_mr60,ovx,0.03424320972214143,2.754063284258408
5,ovx_regime_high,ovx,0.00020931286477813652,0.016834311984360358
5,ovx_regime_high_x_gprd,etkilesim,0.003057013537424306,0.2458650579550489
5,ovx_regime_low,ovx,0.00026476604264947433,0.021294219872964433
5,ovx_regime_low_x_gprd,etkilesim,0.003564998592870931,0.2867205443860689
5,ovx_spike,ovx,0.00034688419618760235,0.027898699811193486
5,ovx_x_gprd,etkilesim,0.010137131003042062,0.8152944928274046
5,ovx_x_gprd_threat,etkilesim,0.009243071482827266,0.7433883684148572
5,ovx_z60,ovx,0.03191152860720952,2.5665342120324324
5,threat_ratio,gpr,0.008667344910403092,0.6970846653522285
5,vol20_vol126,brent_vol,0.03456540113935868,2.7799760289999575
5,vol5_vol60,brent_vol,0.18042901208003362,14.511283305996189
5,vol_ratio,brent_vol,0.12085252751906712,9.719752077880782
22,brent_ema10,brent_fiyat,0.00699536659133931,1.0621255809703376
22,brent_ema20,brent_fiyat,0.028394013891617456,4.311140539518183
22,brent_ema5,brent_fiyat,0.009709048612664143,1.4741513205558547
22,brent_lag1,brent_fiyat,0.020376126281917095,3.0937628046398995
22,brent_lag2,brent_fiyat,0.005927756358869374,0.9000274087579062
22,brent_lag3,brent_fiyat,0.004590113538627824,0.6969294525566078
22,brent_lag4,brent_fiyat,0.003431803733110428,0.521060116894921
22,brent_lag5,brent_fiyat,0.0028904372515777747,0.4388629680810732
22,brent_ret_lag1,brent_fiyat,0.00309153208945645,0.4693957455593056
22,brent_ret_lag2,brent_fiyat,0.005223924247547984,0.7931626604445966
22,brent_ret_lag3,brent_fiyat,0.004044882603920996,0.6141455532817
22,brent_ret_lag4,brent_fiyat,0.004503941411773364,0.6838457036059729
22,brent_ret_lag5,brent_fiyat,0.003766039489225174,0.5718080429698672
22,brent_vol126,brent_vol,0.03263078583404422,4.954421174211453
22,brent_vol20,brent_vol,0.12310977429151534,18.692092663791097
22,brent_vol5,brent_vol,0.010747122950851918,1.631764977415973
22,brent_vol60,brent_vol,0.03815941601060331,5.793848166574939
22,dow,takvim,0.00013160002999939023,0.019981191334828268
22,gprd_ema10,gpr,0.004866524258007606,0.7388976456561881
22,gprd_ema20,gpr,0.02213887171819806,3.361405249988039
22,gprd_ema5,gpr,0.0018364266181985537,0.2788296600750543
22,gprd_lag1,gpr,0.001816121115310428,0.2757466202128337
22,gprd_lag2,gpr,0.0018821381469024344,0.28577016610110895
22,gprd_lag3,gpr,0.00261217042231389,0.39661295675749353
22,gprd_lag4,gpr,0.001875063266682749,0.2846959677491695
22,gprd_lag5,gpr,0.0017460542779493455,0.2651081812736893
22,gprd_momentum,gpr,0.008278553960068772,1.2569554175071302
22,gprd_spike,gpr,0.0,0.0
22,gprd_threat_ema10,gpr,0.011356826856111486,1.7243379835820043
22,gprd_threat_ema20,gpr,0.01809949226056536,2.748095254410471
22,gprd_threat_ema5,gpr,0.003415189776569605,0.5185375745788422
22,gprd_threat_lag1,gpr,0.002396729250419109,0.36390193627330975
22,gprd_threat_lag2,gpr,0.0036380895141822594,0.5523810494301937
22,gprd_threat_lag3,gpr,0.002481178205683439,0.3767240513835476
22,gprd_threat_lag4,gpr,0.0017149227191112005,0.26038139182159475
22,gprd_threat_lag5,gpr,0.0017063750861173806,0.2590835814008054
22,gprd_threat_momentum,gpr,0.008048962103202939,1.2220958599449019
22,gprd_threat_spike,gpr,0.0,0.0
22,gprd_threat_z60,gpr,0.00163161273036773,0.24773220910337362
22,gprd_z60,gpr,0.002064223820343614,0.31341673031827605
